Department,Total_area_(ha),sweets_cassava(ha),industria_cassava(ha),Total_production(ton),Average yield (ton/ha)
Bolívar,34067,33045,1022,336847,10
Magdalena,19501,19501,,236700,12
Córdoba,19907,17120,2786,210575,11
Antioquia,10518,10518,,134353,13
Sucre,14437,9384,5052,137867,10
Cesar,8798,8798,,98622,11
Meta,7778,7778,,126220,16
Caquetá,7099,7099,,58999,8
N. Santander,6895,6895,,96150,14
Santander,6355,6355,,91277,14
Arauca,5994,5994,,114646,19
Choco,5616,5616,,57318,10
La guajira,4374,4374,,39868,9
Atlántico,4062,4062,,39755,10
Putumayo,3816,3816,,28986,8
Tolima,3441,3441,,40118,12
Cundinamarca,3354,3354,,37525,11
Huila,3349,3349,,25596,8
Cauca,4753,2614,2138,70143,15
Boyacá,2068,2048,20,19983,10
Guainía,1915,1915,,13432,7
Vaupés,1808,1808,,9606,5
Casanare,1746,1746,,16456,9
Nariño,1716,1682,34,16906,10
Guaviare,1300,1300,,12830,10
Vichada,661,661,,6986,11
Valle del C.,621,621,,8854,14
Amazonas,590,590,,4310,7
Quindío,453,453,,8224,18
Risaralda,240,240,,1546,6
Caldas,25,25,,253,10
S. Andrés y P.,12,12,,120,10
