Variety,code,Location,Color,Dry matter ,b_carotene content (ug/g),Total_carotenes_(ug/g),boiling estimation min,Cyanide (ug/g)
Francesa ,SM1495-5,Cauca,Blanca,38.4,0.8,1.2,60,15.3
Cumbre,SM856-11,Cauca,Blanca,41.2,0.2,1.1,44,7.6
Venezolana,COL2215,Caribe,Blanca,40.9,0.9,1.8,40,61.5
Chirosa,MCOL 2066,Quindio,Blanca,37.3,1.1,2.1,9,26.7
Chirosa morada (original),MCOL 2066,Quindio,Blanca,40.0,1.1,3.0,11,17.5
Sietemesina,MBRA383,Quindio,Blanca,45.0,1.4,2.4,41,22.6
Yema de Huevo,GM3650-51,Tumaco,Amarilla,38.8,5.5,10.9,22,38.8
P-13,ICA ARMENIA,Valle,Blanca,37.0,0.4,1.5,49,11.7
Brasilera,MCOL 2298,Llanos,Blanca,35.0,0.6,1.4,39,7.3
Algodona ,MCOL 1522,Cauca,Blanca,37.0,0.5,1.5,55,7.2
